,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
196,LGBMClassifier,breast,3,559,140,1.309369,42,1.0,0.9714285714285714,1.0,0.9375,1.0,0.9701094998520272,,,,,
197,CatBoostClassifier,breast,3,559,140,7.925068,42,1.0,0.9785714285714284,1.0,0.9523809523809524,1.0,0.97469665581533,,,,,
198,DecisionLatticeClassifier,breast,3,559,140,0.40379499999999996,42,0.996422182468694,0.9785714285714284,0.9952606635071092,0.9508196721311476,0.997134670487106,0.9631547795205684,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
199,DecisionLatticeClassifier,breast,3,559,140,0.45335299999999995,42,0.38998211091234347,0.2642857142857143,0.5519053876478318,0.3757575757575757,0.5114613180515759,0.5275229357798166,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
200,DecisionLatticeClassifier,breast,3,559,140,9.389644,42,0.996422182468694,0.9642857142857144,0.9952606635071092,0.923076923076923,0.997134670487106,0.9655223438887244,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact
201,DecisionLatticeClassifier,breast,3,559,140,0.951684,42,0.998211091234347,0.9857142857142858,0.997624703087886,0.96875,0.9985673352435529,0.9908256880733946,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
202,DecisionLatticeClassifier,breast,3,559,140,1.06324,42,0.37924865831842575,0.22857142857142854,0.5475880052151239,0.3647058823529412,0.502865329512894,0.5045871559633027,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
203,DecisionLatticeClassifier,breast,3,559,140,15.784889999999999,42,0.6243291592128801,0.7785714285714286,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",
204,DecisionLatticeClassifier,breast,3,559,140,15.789382000000002,42,0.6243291592128801,0.7785714285714286,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",approximate
205,DecisionLatticeClassifier,breast,3,559,140,16.025555999999998,42,0.6243291592128801,0.7785714285714286,0.0,0.0,0.5,0.5,,,Sofia,"{'L_max': 10, 'random_state': 42}",exact
206,DecisionTreeClassifier,breast,4,560,139,0.0036710000000000002,42,1.0,0.9496402877697842,1.0,0.8985507246376812,1.0,0.928434065934066,,,,,
207,RandomForestClassifier,breast,4,560,139,0.011448999999999999,42,0.9964285714285714,0.9856115107913668,0.9951456310679612,0.9722222222222222,0.9961603861554494,0.9903846153846152,5.0,10.0,,,
208,RandomForestClassifier,breast,4,560,139,0.170146,42,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
209,GradientBoostingClassifier,breast,4,560,139,0.076669,42,1.0,0.9928057553956836,1.0,0.9855072463768116,1.0,0.9857142857142858,,,,,
210,LGBMClassifier,breast,4,560,139,1.136695,42,1.0,0.9640287769784172,1.0,0.9253731343283582,1.0,0.9380494505494504,,,,,
211,CatBoostClassifier,breast,4,560,139,6.527189,42,1.0,0.9856115107913668,1.0,0.9705882352941176,1.0,0.9714285714285714,,,,,
